dv1,dv2,of1,of2,of3
1.87E+000,3.55E+000,0.222555,0.00354138,0.00354138
5.00E+000,1.18E+000,0.542092,0.00507232,0.00507232
1.50E+000,1.54E+000,0.159653,0.00370631,0.00370631
1.05E+000,1.28E+000,0.106321,0.00358308,0.00358308
7.18E+000,3.12E+000,0.856723,0.00622188,0.00622188
6.45E+000,1.83E+000,0.731659,0.00766459,0.00766459
3.36E+000,2.83E+000,0.397884,0.00407112,0.00407112
7.93E+000,4.55E+000,1.05334,0.0063934,0.0063934
5.31E+000,5.85E+000,0.792741,0.00512185,0.00512185
2.79E+000,3.26E+000,0.315443,0.00481832,0.00481832
4.33E+000,2.06E+000,0.498069,0.00512112,0.00512112
7.71E+000,4.68E+000,1.03656,0.0062326,0.0062326
4.78E+000,3.49E+000,0.588175,0.00462752,0.00462752
7.22E+000,2.61E+000,0.845494,0.00719094,0.00719094
4.41E+000,5.81E+000,0.670656,0.00469022,0.00469022
2.61E+000,2.15E+000,0.292859,0.00395829,0.00395829
5.87E+000,2.76E+000,0.692342,0.00595331,0.00595331
4.49E+000,1.47E+000,0.509683,0.00685561,0.00685561
