ROW,LOC_X,LOC_Y,CAT
1098,97.0,42.0,5
1099,-164.0,58.0,2
1100,-136.0,211.0,1
1101,-49.0,37.0,4
1102,-4.0,28.0,4
1103,-103.0,30.0,2
1104,-158.0,42.0,2
1105,65.0,60.0,4
1106,-103.0,37.0,2
1107,10.0,1.0,4
1108,64.0,83.0,4
1109,178.0,42.0,5
1110,70.0,67.0,4
1111,-139.0,219.0,1
1112,4.0,3.0,4
1113,-7.0,1.0,4
1114,125.0,75.0,5
1115,174.0,173.0,0
1116,-43.0,60.0,4
1117,-15.0,63.0,4
1118,69.0,190.0,0
1119,-7.0,91.0,4
1120,72.0,36.0,4
1121,230.0,12.0,5
1122,-150.0,214.0,1
1123,100.0,63.0,5
1124,1.0,6.0,4
1125,-75.0,56.0,2
1126,73.0,80.0,5
1127,130.0,219.0,0
1128,95.0,247.0,0
1129,0.0,1.0,4
1130,6.0,1.0,4
1131,-194.0,19.0,2
1132,-199.0,168.0,1
1133,200.0,170.0,0
1134,1.0,1.0,4
1135,-15.0,0.0,4
1136,0.0,1.0,4
1137,-5.0,12.0,4
1138,6.0,4.0,4
1139,15.0,28.0,4
1140,-70.0,14.0,4
1141,0.0,1.0,4
1142,-158.0,220.0,1
1143,-138.0,217.0,1
1144,0.0,1.0,4
1145,-150.0,48.0,2
1146,-26.0,115.0,4
1147,13.0,-2.0,4
1148,2.0,15.0,4
1149,0.0,1.0,4
1150,159.0,206.0,0
1151,-190.0,190.0,1
1152,0.0,33.0,4
1153,-147.0,113.0,2
1154,-169.0,184.0,1
1155,146.0,208.0,0
1156,-131.0,138.0,1
1157,-224.0,-5.0,2
1158,136.0,119.0,5
1159,-7.0,-5.0,4
1160,152.0,53.0,5
1161,-15.0,1.0,4
1162,15.0,-6.0,4
1163,4.0,228.0,3
1164,-18.0,244.0,3
1165,160.0,227.0,0
1166,-139.0,203.0,1
1167,12.0,0.0,4
1168,10.0,-17.0,4
1169,165.0,176.0,0
1170,-183.0,1.0,2
1171,62.0,216.0,0
1172,67.0,238.0,0
1173,29.0,0.0,4
1174,10.0,-3.0,4
1175,0.0,1.0,4
1176,-7.0,17.0,4
1177,-98.0,42.0,2
1178,0.0,1.0,4
1179,0.0,1.0,4
1180,-127.0,63.0,2
1181,226.0,7.0,5
1182,99.0,66.0,5
1183,13.0,25.0,4
1184,-179.0,190.0,1
1185,-29.0,249.0,3
1186,4.0,3.0,4
1187,158.0,80.0,5
1188,-138.0,146.0,1
1189,-26.0,53.0,4
1190,-245.0,88.0,2
1191,0.0,1.0,4
1192,26.0,17.0,4
1193,0.0,15.0,4
1194,-4.0,-3.0,4
1195,-188.0,89.0,2
1196,-11.0,15.0,4
1197,47.0,66.0,4
1198,-16.0,17.0,4
1199,108.0,23.0,5
1200,125.0,69.0,5
1201,-37.0,47.0,4
1202,-45.0,48.0,4
1203,-138.0,19.0,2
1204,-62.0,33.0,4
1205,-157.0,17.0,2
1206,-8.0,373.0,3
1207,-90.0,230.0,1
1208,-136.0,11.0,2
1209,-112.0,105.0,2
1210,1.0,1.0,4
1211,-24.0,184.0,3
1212,10.0,6.0,4
1213,-4.0,17.0,4
1214,1.0,14.0,4
1215,-5.0,4.0,4
1216,-217.0,129.0,1
1217,-8.0,36.0,4
1218,61.0,250.0,3
1219,1.0,1.0,4
1220,12.0,-2.0,4
1221,13.0,7.0,4
1222,116.0,74.0,5
1223,12.0,-10.0,4
1224,40.0,131.0,3
1225,-136.0,3.0,2
1226,-29.0,254.0,3
1227,0.0,1.0,4
1228,4.0,1.0,4
1229,-38.0,225.0,3
1230,1.0,1.0,4
1231,-130.0,36.0,2
1232,-119.0,157.0,1
1233,-160.0,-5.0,2
1234,-161.0,224.0,1
1235,0.0,1.0,4
1236,212.0,129.0,5
1237,0.0,1.0,4
1238,-27.0,4.0,4
1239,162.0,52.0,5
1240,0.0,1.0,4
1241,-234.0,80.0,2
1242,-5.0,11.0,4
1243,0.0,1.0,4
1244,230.0,12.0,5
1245,-108.0,-3.0,2
1246,-163.0,48.0,2
1247,143.0,203.0,0
1248,-147.0,36.0,2
1249,-35.0,55.0,4
1250,-131.0,208.0,1
1251,-8.0,12.0,4
1252,-27.0,60.0,4
1253,0.0,72.0,4
1254,230.0,53.0,5
1255,-166.0,115.0,2
1256,0.0,-3.0,4
1257,173.0,214.0,0
1258,-180.0,205.0,1
1259,0.0,1.0,4
1260,-16.0,-5.0,4
1261,144.0,214.0,0
1262,-146.0,64.0,2
1263,-15.0,0.0,4
1264,1.0,-2.0,4
1265,-111.0,66.0,2
1266,23.0,26.0,4
1267,1.0,9.0,4
1268,-138.0,12.0,2
1269,192.0,175.0,0
1270,-108.0,225.0,1
1271,-5.0,3.0,4
1272,-150.0,211.0,1
1273,-43.0,203.0,3
1274,190.0,118.0,5
1275,-141.0,213.0,1
1276,-116.0,168.0,1
1277,-48.0,61.0,4
1278,-199.0,77.0,2
