ROW,LOC_X,LOC_Y,CAT
251,-103.0,33.0,2
252,-11.0,11.0,4
253,-116.0,41.0,2
254,108.0,52.0,5
255,86.0,58.0,5
256,-136.0,74.0,2
257,6.0,11.0,4
258,0.0,1.0,4
259,-127.0,45.0,2
260,6.0,261.0,3
261,42.0,93.0,4
262,-150.0,22.0,2
263,102.0,11.0,5
264,168.0,-6.0,5
265,6.0,56.0,4
266,10.0,11.0,4
267,0.0,12.0,4
268,42.0,146.0,3
269,-7.0,14.0,4
270,-8.0,17.0,4
271,-7.0,30.0,4
272,-139.0,101.0,2
273,-130.0,0.0,2
274,146.0,44.0,5
275,-213.0,-22.0,2
276,12.0,134.0,3
277,48.0,17.0,4
278,-168.0,178.0,1
279,0.0,6.0,4
280,-2.0,12.0,4
281,-128.0,219.0,1
282,-30.0,61.0,4
283,-56.0,56.0,4
284,163.0,-10.0,5
285,94.0,233.0,0
286,1.0,12.0,4
287,-2.0,3.0,4
288,143.0,241.0,0
289,-68.0,113.0,1
290,-5.0,6.0,4
291,18.0,19.0,4
292,-90.0,56.0,2
293,146.0,211.0,0
294,111.0,313.0,0
295,10.0,22.0,4
296,18.0,17.0,4
297,-141.0,220.0,1
298,127.0,225.0,0
299,17.0,7.0,4
300,6.0,11.0,4
301,136.0,26.0,5
302,151.0,219.0,0
303,0.0,1.0,4
304,-78.0,44.0,2
305,165.0,203.0,0
306,15.0,56.0,4
307,-2.0,205.0,3
308,26.0,11.0,4
309,1.0,197.0,3
310,228.0,82.0,5
311,24.0,14.0,4
312,174.0,101.0,5
313,0.0,1.0,4
314,-101.0,173.0,1
315,-89.0,89.0,2
316,-18.0,14.0,4
317,-172.0,205.0,1
318,239.0,6.0,5
319,0.0,296.0,3
320,-34.0,0.0,4
321,61.0,14.0,4
322,-52.0,194.0,3
323,-37.0,1.0,4
324,-111.0,227.0,1
325,171.0,-10.0,5
326,157.0,189.0,0
327,125.0,154.0,0
328,-16.0,4.0,4
329,9.0,39.0,4
330,106.0,39.0,5
331,-34.0,58.0,4
332,-27.0,134.0,3
333,125.0,134.0,0
334,-18.0,3.0,4
335,-177.0,-8.0,2
336,0.0,255.0,3
337,18.0,11.0,4
338,12.0,37.0,4
339,147.0,129.0,5
340,-131.0,129.0,1
341,2.0,-3.0,4
342,0.0,11.0,4
343,-2.0,60.0,4
344,155.0,26.0,5
345,0.0,14.0,4
346,-7.0,127.0,3
