1	4.871414978155594e-01	1.425251595240669e-01	5.897354832020288e-01	7.990036185581719e-01	8.639752428013483e-01	6.289501237841091e-01	2.075944289234907e-01	2.284886095885833e-01	2.582801251692721e-01	7.488642551197503e+00	3.884067160088600e+01	-1.342432633986432e+01	35.2251 122.277 339.623
2	2.846825164988090e-01	1.430792581104111e-01	6.492901882563207e-01	6.334732042432173e-02	8.884534590911136e-01	9.869096261813116e-01	3.094712257531803e-01	2.244929709366956e-01	1.660647810528473e-01	1.317732642896116e+00	9.306902043198656e-01	-4.962615240929917e-01	42.1183 4.13759 309.449
3	3.485607412348319e-01	5.396973979103833e-01	1.929431835547756e-01	4.720344773200501e-01	6.071934532524056e-02	3.801766971621787e-01	2.603700644431496e-01	2.024292435190544e-01	1.467499439703533e-01	6.052696762182840e+00	2.945993446137753e+00	-4.678832212616147e+00	41.7185 37.3891 467.299
4	3.073758400019146e-01	4.092975846162521e-01	5.768011498492217e-01	1.807021723330031e-02	1.967362358900654e-01	2.295182273336771e-01	3.438707800480169e-01	2.362678763025989e-01	2.015101899915073e-01	3.209666355604849e+00	3.338746807749266e+01	-1.166358481875555e+01	45.6606 155.98 484.209
5	6.533010093929716e-01	1.563426456257434e-02	5.534284909960946e-01	9.934219858403885e-02	6.875660949922475e-01	2.088028688525329e-01	3.046558244758779e-01	3.464034043071574e-01	1.497773848723282e-01	8.644581018222766e+00	1.120599542102124e-01	-6.067120768684951e+00	45.3468 30.2206 291.584
6	3.087078391880300e-01	7.927214568568028e-01	3.160321433283538e-01	4.104679455522997e-01	9.949214972892877e-01	2.736900153138861e-01	3.258052669841821e-01	2.818282594582198e-01	1.882185988250857e-01	3.950277722324374e+00	6.588460580999246e+00	-2.709035360526311e+00	55.0919 79.864 930.964
7	5.556367996528916e-01	8.425233181158655e-02	1.897100907893433e-01	4.491632995372234e-01	5.162820503249681e-01	8.307431542399540e-02	3.599468117198892e-01	3.925816624132366e-01	3.362851438379894e-01	2.977696723445643e+00	1.084002042603214e+01	-1.417133517762243e+01	50.0496 18.9848 377.146
8	4.962580329576778e-01	4.354237064236886e-01	7.757602101237329e-01	1.337471574381912e-01	1.062377348524694e-01	2.600017615093392e-01	3.325782238007887e-01	3.251745067673849e-01	3.237710747741028e-01	6.679312981643859e+00	2.275361917554569e+01	-1.098349840260739e+01	55.0052 165.769 662.93
9	2.962970507826176e-01	2.152934514476422e-01	7.089731017285833e-01	6.469333095618911e-01	7.491445865419901e-01	9.159278916851282e-01	2.937963083071151e-01	2.352381172216209e-01	1.476229919350580e-01	4.723691550222547e+00	3.921415542578984e+01	-1.082449286450841e+01	38.3348 147.341 379.616
10	2.513547763565345e-01	4.390703553953536e-01	1.253469350726097e-01	4.693106165722993e-01	3.203576165887563e-01	4.701841794909836e-01	3.108987715382356e-01	2.493860315571707e-01	2.187141437563529e-01	7.919412034526194e-01	2.777709260896178e+01	-9.535969052538729e+00	43.116 95.6806 465.648
11	5.953567054836809e-01	6.788547473823907e-01	7.992592649675251e-01	2.009946443494385e-02	3.489997323917923e-01	6.141645605980487e-01	3.534349088609149e-01	3.296242091740129e-01	3.267344124722804e-01	4.533909214647212e+00	1.825217421727822e+01	4.348519229003468e+00	70.1075 213.154 1045.07
